區鄉,里村,納稅單位,綜合所得總額,平均數,,中位數,,第一分位數,第三分位數,標準差,變異係數
大安區,龍泉里,1756,2362835,,1346,,718,284,1704,2194.83,163.11
大安區,群英里,2459,2730112,,1110,,596,233,1393,1599.42,144.06
大安區,學府里,681,667530,,980,,562,241,1226,1182.56,120.64
大安區,其　他,206,236845,,1150,,539,264,1100,2332.75,202.89
大安區,合　計,104151,150957402,,1449,,705,281,1635,4363.47,301.05
中正區,南門里,903,1620169,,1794,,676,263,1505,7265.02,404.92
中正區,龍興里,1094,1049071,,959,,580,241,1213,1284.10,133.91
中正區,愛國里,1105,1250273,,1131,,683,276,1429,1419.22,125.43
中正區,龍光里,1101,1343992,,1221,,735,285,1506,1906.25,156.16
中正區,河堤里,1642,1752735,,1067,,602,257,1289,1385.22,129.77
中正區,龍福里,1754,2180338,,1243,,757,304,1596,1529.38,123.03
中正區,螢雪里,1431,1266070,,885,,529,247,1118,1119.19,126.50
中正區,永昌里,1412,1106221,,783,,451,207,957,1208.50,154.25
中正區,文盛里,956,1151720,,1205,,656,263,1420,2026.05,168.17
中正區,忠勤里,1622,929538,,573,,366,177,698,714.49,124.68
中正區,永功里,2017,2005557,,994,,561,246,1171,1567.68,157.66
中正區,螢圃里,1928,2093919,,1086,,586,267,1244,2120.13,195.21
中正區,幸市里,1702,2947914,,1732,,786,306,1867,5247.79,302.98
中正區,文祥里,2768,4290311,,1550,,824,339,1929,2208.94,142.52
中正區,黎明里,1146,1327796,,1159,,650,274,1341,1829.16,157.87
中正區,建國里,568,897036,,1579,,819,313,1707,2484.15,157.30
中正區,光復里,1410,1603418,,1137,,639,269,1288,1916.64,168.54
中正區,東門里,1368,2423668,,1772,,773,312,1826,8029.73,453.23
中正區,板溪里,1165,1183878,,1016,,583,245,1252,1563.21,153.83
中正區,文北里,2053,3814074,,1858,,818,322,1954,4404.66,237.09
中正區,梅花里,1193,1726361,,1447,,672,262,1542,4270.60,295.12
中正區,廈安里,1390,1591959,,1145,,679,287,1415,1483.70,129.55
中正區,網溪里,2040,2308869,,1132,,633,258,1355,1768.98,156.30
中正區,林興里,1637,2052004,,1254,,675,279,1423,2346.13,187.16
中正區,幸福里,1718,2247150,,1308,,690,270,1551,1917.92,146.63
中正區,水源里,1025,1115855,,1089,,626,253,1289,1467.77,134.83
中正區,富水里,811,913921,,1127,,684,310,1404,1353.26,120.09
中正區,頂東里,2200,2329148,,1059,,623,249,1316,1369.92,129.40
中正區,新營里,2921,4552648,,1559,,896,355,1967,2199.21,141.10
中正區,南福里,3908,6014429,,1539,,864,345,1902,2578.24,167.53
中正區,三愛里,3043,4515805,,1484,,737,275,1814,2882.98,194.27
中正區,其　他,45,32799,,729,,545,255,1015,651.88,89.44
中正區,合　計,51076,65638648,,1285,,667,275,1500,2844.22,221.32
萬華區,柳鄉里,1342,824753,,615,,396,185,768,738.66,120.19
萬華區,雙園里,1398,1205658,,862,,491,219,1043,1160.20,134.53
萬華區,糖廍里,1611,1329588,,825,,488,232,968,1377.84,166.95
萬華區,西門里,1165,1029172,,883,,522,236,1108,1322.87,149.75
萬華區,仁德里,1683,1721789,,1023,,502,244,1156,1804.78,176.41
萬華區,新起里,2303,2228619,,968,,534,232,1123,1541.69,159.31
萬華區,日善里,1032,802682,,778,,455,202,891,2074.46,266.71
萬華區,菜園里,1889,1533506,,812,,493,219,1023,970.86,119.59
萬華區,頂碩里,2149,1620999,,754,,450,203,932,1309.76,173.64
萬華區,福音里,1288,1003586,,779,,490,224,983,917.82,117.79
萬華區,華中里,1715,1214562,,708,,428,213,876,962.86,135.96
萬華區,青山里,1577,1254126,,795,,457,205,937,1154.89,145.22
萬華區,新和里,2616,2137891,,817,,495,219,980,1079.91,132.14
萬華區,新安里,1600,1009516,,631,,407,202,779,764.40,121.15
萬華區,富民里,1455,1105346,,760,,460,205,948,1338.84,176.24
萬華區,富福里,1428,1185081,,830,,469,207,960,1262.02,152.07
萬華區,綠堤里,959,513706,,536,,378,183,679,642.96,120.03
萬華區,忠貞里,1202,757469,,630,,406,196,795,700.85,111.22
萬華區,日祥里,1711,1263949,,739,,459,208,905,927.00,125.49
萬華區,忠德里,1311,969530,,740,,467,225,897,983.12,132.94
萬華區,孝德里,934,651632,,698,,409,193,813,983.48,140.97
萬華區,保德里,976,882778,,904,,440,211,906,2342.87,259.03
萬華區,全德里,1294,1220139,,943,,513,230,1081,1992.24,211.28
萬華區,興德里,1131,786015,,695,,420,207,873,925.61,133.19
萬華區,壽德里,1472,1187375,,807,,484,238,990,1144.42,141.88
萬華區,凌霄里,969,627288,,647,,413,182,846,775.41,119.78
萬華區,和平里,1806,1194073,,661,,422,204,797,1039.12,157.16
萬華區,騰雲里,1004,788150,,785,,457,219,901,1225.67,156.13
萬華區,榮德里,941,623384,,662,,438,213,779,1084.78,163.75
萬華區,福星里,1627,1351529,,831,,449,191,969,1379.53,166.07
萬華區,和德里,1598,1062003,,665,,404,192,795,874.03,131.52
萬華區,萬壽里,962,887281,,922,,489,200,1060,1415.97,153.52
萬華區,銘德里,1314,965246,,735,,447,220,876,1037.48,141.23
萬華區,華江里,2391,1558885,,652,,419,210,808,767.56,117.73
萬華區,錦德里,1576,1070444,,679,,442,201,838,823.51,121.24
萬華區,新忠里,993,808815,,815,,491,218,1010,1003.48,123.20
萬華區,其　他,60,42437,,707,,518,232,713,766.86,108.42
萬華區,合　計,52482,40419003,,770,,453,210,924,1212.17,157.39
大同區,建泰里,1257,1354823,,1078,,562,240,1208,1759.73,163.27
大同區,建明里,1143,1025503,,897,,499,202,1056,1403.55,156.44
大同區,雙連里,2873,2675077,,931,,526,237,1107,1386.93,148.95
大同區,建功里,1534,1453271,,947,,515,214,1118,1397.15,147.48
大同區,景星里,684,449320,,657,,410,194,809,784.48,119.42
大同區,星明里,1960,1851207,,944,,569,257,1173,1156.47,122.44
大同區,朝陽里,1516,1434720,,946,,519,221,1069,1667.27,176.17
大同區,大有里,1511,1357902,,899,,508,221,1042,1353.36,150.59
大同區,斯文里,1485,1188276,,800,,447,194,953,1165.89,145.70
大同區,揚雅里,1087,903104,,831,,448,214,932,1553.60,186.99
大同區,國順里,763,479003,,628,,388,169,769,830.46,132.28
大同區,國慶里,1626,1588062,,977,,545,250,1171,1615.77,165.44
大同區,隆和里,1180,1063859,,902,,504,223,1067,1232.23,136.68
大同區,南芳里,1273,1080562,,849,,508,231,1055,1055.45,124.34
大同區,鄰江里,2035,1437760,,707,,428,201,866,862.51,122.08
大同區,玉泉里,1002,944367,,942,,519,236,1156,1283.45,136.18
大同區,光能里,1647,1649999,,1002,,517,248,1148,1751.71,174.85
大同區,重慶里,2236,2044953,,915,,542,239,1157,1334.98,145.97
大同區,至聖里,2658,2199418,,827,,480,213,999,1139.53,137.71
大同區,老師里,1770,1288800,,728,,467,226,892,939.30,129.00
大同區,蓬萊里,1701,1695798,,997,,478,215,1077,2287.32,229.43
大同區,民權里,2117,2135495,,1009,,596,250,1207,1576.09,156.24
大同區,延平里,1358,1044410,,769,,469,222,947,948.98,123.39
大同區,永樂里,1866,1960050,,1050,,529,234,1151,1876.30,178.63
大同區,保安里,1472,1224726,,832,,483,227,1009,1204.74,144.80
大同區,其　他,65,58006,,892,,510,278,1036,1784.42,199.96
大同區,合　計,39819,35588471,,894,,500,224,1057,1410.58,157.83
中山區,聚盛里,1369,1120355,,818,,462,204,984,1238.81,151.37
中山區,大佳里,291,215090,,739,,449,225,862,978.80,132.42
中山區,恆安里,1829,2152992,,1177,,597,252,1334,2027.64,172.25
中山區,集英里,2355,2543137,,1080,,578,250,1284,1799.59,166.65
中山區,正守里,1210,1315782,,1087,,621,260,1298,1452.13,133.54
中山區,正義里,1759,1468795,,835,,494,225,975,1181.33,141.47
中山區,新生里,1528,1312001,,859,,508,215,1045,1167.03,135.92
中山區,松江里,2261,3021420,,1336,,601,247,1353,10010.92,749.14
中山區,江山里,2753,2914792,,1059,,572,250,1245,1566.27,147.93
中山區,中山里,2575,2442984,,949,,522,226,1073,1585.24,167.09
中山區,成功里,2522,5300987,,2102,,956,365,2331,5396.22,256.73
