區鄉,里村,納稅單位,綜合所得總額,平均數,,中位數,,第一分位數,第三分位數,標準差,變異係數
士林區,平等里,395,301120,,762,,463,246,825,1900.33,249.28
士林區,溪山里,361,266440,,738,,380,202,836,1197.71,162.28
士林區,百齡里,2171,1707602,,787,,500,232,1023,939.79,119.48
士林區,天玉里,3018,4237097,,1404,,663,276,1580,2417.73,172.21
士林區,天福里,2166,2560784,,1182,,627,256,1393,3573.36,302.25
士林區,天祿里,1848,2134361,,1155,,645,266,1394,1815.42,157.19
士林區,天壽里,1821,2622816,,1440,,735,310,1636,2477.30,172.00
士林區,東山里,1664,1967637,,1182,,591,259,1318,2888.36,244.26
士林區,福華里,1758,1308266,,744,,453,218,885,1156.35,155.39
士林區,聖山里,1752,2174006,,1241,,645,268,1494,1858.63,149.78
士林區,天和里,2579,3158163,,1225,,661,278,1468,1809.07,147.73
士林區,明勝里,1649,1462318,,887,,508,228,1077,1193.81,134.62
士林區,社園里,2093,1371250,,655,,428,221,819,790.33,120.63
士林區,蘭興里,2273,2545173,,1120,,586,245,1307,1599.84,142.88
士林區,天母里,2372,3726596,,1571,,688,283,1629,4775.80,303.98
士林區,名山里,2496,2907537,,1165,,592,264,1372,2902.78,249.19
士林區,德華里,1902,1673136,,880,,535,229,1098,1115.74,126.84
士林區,天山里,2436,2933146,,1204,,596,242,1382,2118.95,175.98
士林區,臨溪里,1029,1820070,,1769,,654,273,1662,3914.07,221.29
士林區,其　他,169,162519,,962,,394,223,928,2023.97,210.47
士林區,合　計,88969,93315096,,1049,,539,238,1170,2553.82,243.49
北投區,湖山里,468,439043,,938,,478,216,1005,1550.65,165.29
北投區,永欣里,3079,5387660,,1750,,865,326,2068,3183.28,181.92
北投區,泉源里,664,505429,,761,,411,191,783,2049.76,269.28
北投區,一德里,2327,2093348,,900,,536,253,1091,1168.82,129.93
北投區,關渡里,3557,3120423,,877,,486,224,1027,1307.08,149.00
北投區,桃源里,1993,1623665,,815,,496,226,1031,1032.39,126.72
北投區,文化里,1358,1239204,,913,,569,248,1186,1073.63,117.66
北投區,永和里,3240,4070873,,1256,,626,251,1375,2740.00,218.08
北投區,立農里,2935,2777754,,946,,573,255,1215,1384.43,146.28
北投區,清江里,2730,2299983,,842,,469,210,952,1932.06,229.33
北投區,八仙里,1795,1684974,,939,,534,233,1195,1207.97,128.68
北投區,洲美里,705,491417,,697,,453,201,873,846.12,121.39
北投區,中和里,1588,1558939,,982,,480,205,1106,3509.56,357.50
北投區,開明里,2206,2089081,,947,,490,224,1044,1791.66,189.19
北投區,長安里,2034,1827853,,899,,501,212,1046,1396.83,155.44
北投區,大同里,1870,1826018,,976,,496,231,1116,1579.70,161.77
北投區,福興里,2290,2255307,,985,,562,245,1201,1403.22,142.48
北投區,石牌里,1715,1536951,,896,,525,236,1076,1196.21,133.48
北投區,奇岩里,3941,4725219,,1199,,591,249,1341,1986.57,165.69
北投區,稻香里,1645,1289890,,784,,489,236,965,969.68,123.66
北投區,中央里,2737,2606150,,952,,516,242,1084,1445.96,151.86
北投區,溫泉里,2208,1840480,,834,,460,201,1007,1259.79,151.13
北投區,立賢里,1793,1631074,,910,,580,254,1178,1111.19,122.15
北投區,中心里,2199,1959593,,891,,499,211,1083,1306.69,146.63
北投區,智仁里,1878,1388514,,739,,464,227,949,869.73,117.63
北投區,吉利里,2223,2129092,,958,,600,243,1254,1228.72,128.29
北投區,尊賢里,1507,1354250,,899,,549,261,1133,1133.81,126.17
北投區,東華里,1452,1414716,,974,,533,230,1220,1438.85,147.68
北投區,吉慶里,1662,1647740,,991,,597,263,1271,1277.08,128.81
北投區,中庸里,1283,965305,,752,,494,219,992,839.13,111.53
北投區,秀山里,933,629482,,675,,442,202,827,806.81,119.58
北投區,建民里,1515,1685181,,1112,,604,262,1287,1753.03,157.60
北投區,榮光里,2237,2040603,,912,,545,241,1189,1148.45,125.90
北投區,裕民里,2718,3237991,,1191,,602,239,1384,1870.29,156.99
北投區,振華里,2507,2570955,,1026,,596,252,1270,1342.46,130.91
北投區,榮華里,2659,3505062,,1318,,698,287,1607,2198.47,166.78
北投區,豐年里,1347,970498,,720,,438,213,882,883.49,122.62
北投區,林泉里,966,714514,,740,,496,216,961,857.39,115.92
北投區,永明里,1622,1719536,,1060,,637,272,1288,1376.25,129.82
北投區,文林里,1478,1545681,,1046,,585,264,1205,1593.51,152.37
北投區,大屯里,334,307910,,922,,473,239,966,1626.13,176.39
北投區,湖田里,228,181526,,796,,392,163,795,2015.63,253.17
北投區,其　他,79,84623,,1071,,454,242,990,2501.75,233.55
北投區,合　計,79705,78973507,,991,,542,238,1167,1693.75,170.94
信義區,松友里,2157,2022822,,938,,585,266,1203,1132.56,120.77
信義區,六藝里,1177,1016118,,863,,535,235,1101,1176.57,136.29
信義區,中興里,1256,1607354,,1280,,674,282,1379,2324.06,181.60
信義區,永吉里,984,779983,,793,,461,220,904,1753.70,221.24
信義區,敦厚里,1867,2004685,,1074,,613,268,1312,1535.90,143.04
信義區,大道里,2035,1866310,,917,,518,232,1136,1365.36,148.88
信義區,安康里,3766,7775675,,2065,,821,314,2034,5637.37,273.04
信義區,嘉興里,1053,979216,,930,,504,221,1054,2181.52,234.59
信義區,五全里,1690,1517346,,898,,504,240,1033,1427.02,158.94
信義區,新仁里,1169,1427173,,1221,,587,236,1405,2444.84,200.26
信義區,正和里,1582,2059303,,1302,,664,249,1500,2305.24,177.09
信義區,惠安里,2091,1803390,,862,,508,237,1055,1142.74,132.50
信義區,三犁里,1876,2760312,,1471,,638,259,1440,4057.49,275.76
信義區,六合里,2339,3012052,,1288,,585,251,1337,3888.51,301.96
信義區,泰和里,2477,2207429,,891,,511,243,1044,1548.88,173.80
信義區,西村里,1615,1581446,,979,,556,223,1249,1254.90,128.15
信義區,興隆里,874,1725642,,1974,,670,273,1540,9004.42,456.05
信義區,景新里,1789,2648938,,1481,,641,260,1496,3043.46,205.54
信義區,景聯里,1610,1479183,,919,,508,216,1112,1204.92,131.15
信義區,景勤里,1210,1071913,,886,,523,245,1096,1112.04,125.53
信義區,黎順里,1370,1449409,,1058,,560,258,1255,1534.27,145.02
信義區,黎平里,2405,2191732,,911,,543,243,1121,1178.08,129.27
信義區,黎忠里,1541,1311500,,851,,518,235,1030,1118.91,131.47
信義區,松隆里,656,450679,,687,,437,224,877,802.24,116.77
信義區,中坡里,1438,1134764,,789,,517,233,982,921.92,116.83
信義區,永春里,1596,1444624,,905,,534,245,1105,1190.91,131.57
信義區,富台里,1529,1774998,,1161,,661,287,1429,1650.78,142.20
信義區,長春里,1307,986484,,755,,432,208,924,1021.75,135.37
信義區,五常里,1219,1213662,,996,,524,261,1088,1589.88,159.69
信義區,四維里,1757,1685979,,960,,544,240,1131,1711.07,178.31
信義區,雅祥里,1674,1801544,,1076,,550,237,1165,2074.75,192.79
信義區,興雅里,1925,1937898,,1007,,544,247,1179,1385.72,137.65
信義區,廣居里,2646,3031658,,1146,,632,270,1380,2010.90,175.51
信義區,中行里,2474,1926249,,779,,490,234,925,1078.46,138.51
信義區,四育里,1828,1500286,,821,,535,241,1032,1054.36,128.47
信義區,國業里,2488,2642553,,1062,,618,250,1320,1438.48,135.43
信義區,松光里,1648,1542715,,936,,553,248,1146,1840.93,196.66
信義區,大仁里,1223,896464,,733,,453,213,903,935.33,127.60
信義區,雙和里,2410,2199908,,913,,523,230,1128,1325.04,145.16
信義區,黎安里,414,311611,,753,,438,210,854,1092.90,145.20
信義區,三張里,3032,3670847,,1211,,565,249,1225,4840.17,399.78
信義區,其　他,294,543881,,1850,,573,294,1510,3522.58,190.42
信義區,合　計,71491,76995737,,1077,,557,246,1201,2606.13,241.98
其　他,其　他,148,134627,,910,,511,194,1106,1192.25,131.07
其　他,合　計,148,134627,,910,,511,194,1106,1192.25,131.07
